item_id,count
33,12599
753,6434
601,5862
20,5285
448,4044
655,3751
905,3113
596,2986
1948,2423
158,2411
1150,2232
614,2157
595,2132
1622,2094
1357,2056
530,2052
1247,2038
267,1954
2003,1940
1681,1930
533,1917
16,1913
1773,1877
1697,1849
86,1837
1211,1822
1888,1735
337,1682
269,1648
1149,1642
375,1612
1754,1605
1148,1590
921,1550
1943,1512
637,1484
82,1461
370,1431
2205,1416
285,1381
104,1355
1694,1335
624,1319
1231,1314
2739,1303
2402,1269
548,1261
446,1236
1071,1203
1648,1197
117,1128
215,1126
2337,1110
484,1110
4813,1109
41,1058
936,1054
2505,1046
256,1046
3089,1033
123,1031
640,1007
1550,1004
364,981
1494,975
1710,959
1978,931
1751,920
1770,900
917,879
2127,877
460,869
26,861
237,836
1901,812
2684,810
1549,808
1725,793
1329,769
306,762
1072,761
278,751
1823,731
2297,725
1025,724
1355,720
5899,710
4557,695
7127,694
4803,688
504,686
447,684
841,683
3574,681
633,675
2041,675
1919,672
1110,666
2248,654
4768,653
2808,650
22,646
1305,641
2143,641
965,640
2854,640
1455,638
2720,638
2809,636
1304,636
315,632
2484,625
1724,622
1015,618
1008,616
1527,611
2246,606
470,605
3276,603
1133,602
870,589
1520,588
4799,587
629,579
1541,577
672,576
3597,567
13,566
1371,565
1682,561
1114,561
217,558
710,553
5,552
496,550
1704,550
2241,536
167,536
839,534
2798,533
60,532
2472,529
5286,528
929,525
1076,525
433,525
2379,524
18,520
1757,518
563,518
1163,513
1762,513
2759,511
1157,511
4035,511
763,500
1889,499
2357,498
673,497
1498,496
188,493
1996,493
4717,490
450,475
1595,474
478,474
2211,471
2652,471
1345,469
5717,469
200,467
678,460
313,459
1879,452
3209,452
669,452
27,450
3153,450
48,449
1275,445
2037,445
7516,442
283,440
3837,436
2674,436
214,432
159,431
2801,430
1366,427
3752,427
1819,427
2891,427
2226,425
1700,425
455,423
3289,423
2861,422
2023,419
1643,416
5795,415
3264,414
289,413
1538,412
2265,411
4023,409
2183,409
3335,408
2398,408
454,407
547,406
1795,405
1869,404
2691,402
5498,399
1933,398
1245,398
3720,398
791,397
1261,395
9252,393
2471,393
5909,393
1038,392
1514,392
2625,391
1469,390
1825,387
5813,385
5406,383
869,382
1453,381
1443,380
3436,379
2071,375
169,373
7,373
1698,372
468,372
449,371
1229,369
2017,369
1438,369
1164,368
2222,367
2772,367
6072,367
5685,366
147,365
4686,365
7630,365
5249,364
4693,364
2178,363
10725,363
260,363
2469,361
2817,361
1655,358
3283,357
2019,357
3496,356
8700,355
1237,353
1733,349
2487,347
1796,346
835,345
2114,345
5512,344
2287,343
912,342
2132,342
5712,342
2490,340
697,339
2064,338
4721,335
1756,334
5751,334
301,333
9420,333
3342,332
1778,332
1544,331
2734,331
1868,331
4186,330
7395,330
1557,329
1539,328
543,327
307,326
4736,323
1748,323
4899,322
1760,322
2043,321
2826,321
2010,320
2118,318
1545,316
3746,312
5472,312
210,312
684,311
457,310
1036,308
2084,308
4388,308
5776,306
4747,305
3772,305
2571,305
3332,305
2244,304
3813,304
1771,303
602,302
2451,302
11954,302
2274,301
3346,301
5111,300
3942,300
5255,300
565,299
2133,299
497,296
2648,296
1789,295
3632,294
4796,294
3543,294
3175,293
1746,292
7128,291
1596,290
3649,290
1032,288
2504,288
4191,288
2268,288
3645,287
1965,287
2027,287
6064,287
6050,287
6464,286
3388,286
2723,285
2555,285
2099,284
3233,284
3425,282
2678,282
722,281
1893,280
5800,280
7345,280
8566,280
862,279
2175,278
3580,278
4641,278
999,278
1826,278
1091,278
6033,277
1537,277
2818,277
3473,277
2299,276
7544,276
2794,275
522,275
872,275
579,275
1535,274
8150,274
1302,273
8108,273
204,272
3286,272
2389,271
1103,271
566,271
2179,271
190,270
3530,270
1601,269
5063,268
4943,268
2345,268
755,268
1721,267
6323,266
923,266
2162,266
1692,265
2760,265
1450,264
2519,264
523,264
1646,263
218,263
4518,262
4516,262
11175,262
1859,261
5911,261
725,261
5315,260
6751,260
3363,260
9492,258
764,258
5043,258
795,258
3147,258
1068,258
1870,257
1776,257
465,257
3971,257
5318,256
1759,256
4645,256
2065,255
3328,255
3129,253
1793,253
5093,253
2812,253
1717,252
5231,252
8833,252
3222,252
4632,251
768,250
10,250
7415,250
3795,250
2699,249
528,249
3160,248
2766,248
3049,248
984,248
7713,248
3043,247
8774,247
4786,247
3633,247
2687,246
1915,246
913,245
1977,244
6738,244
1087,244
2899,244
5792,243
2980,243
397,243
3239,243
7974,243
356,242
6144,242
7597,242
2360,242
1802,241
4412,241
7994,241
7599,241
2343,240
2123,239
4659,239
5194,239
3621,238
4327,238
590,238
2924,237
7249,237
1807,237
1566,237
463,236
2121,235
743,235
2682,235
5220,235
4505,235
2231,234
1319,234
4400,234
9704,234
707,234
9034,234
4949,233
1547,233
502,233
1887,233
968,232
5141,232
4342,231
1845,231
2602,231
7565,231
2166,230
3673,230
3347,230
3754,230
7225,229
3184,229
5914,229
561,229
4442,228
10364,228
6484,228
4220,228
3529,227
6370,227
8642,226
10139,226
1037,226
10431,226
1766,226
2022,226
8371,226
636,225
5322,225
1921,225
1713,225
7338,225
8737,225
568,224
6093,224
3397,223
467,223
2444,223
5224,222
2805,222
4392,222
4401,222
3116,222
5856,222
4814,221
7346,221
3216,221
734,221
10964,220
2811,220
3420,220
914,220
1294,220
3145,220
715,219
2393,219
2557,219
5465,219
2930,218
6233,218
3421,218
1837,217
8297,217
10530,217
4398,217
2341,217
531,216
11503,216
309,216
4822,216
2559,215
5181,215
2410,215
5180,214
2448,213
2111,213
5643,213
2324,213
4928,213
5485,213
80,212
4445,212
2560,212
3355,212
3638,212
4959,211
4550,211
6307,210
5030,210
390,210
2258,210
6597,210
4931,210
3343,209
3290,209
7219,209
1224,208
3713,208
3414,208
11627,208
2215,208
6775,207
3162,206
879,206
6591,206
5789,206
4551,206
9443,206
8539,205
5563,205
3029,204
1016,204
642,204
1914,204
3134,204
2576,203
7221,203
2391,203
2788,202
3270,202
1752,202
3553,202
1281,202
668,202
2464,201
4410,201
459,201
3294,201
1470,200
2987,200
3757,200
10069,200
6141,200
4446,199
2233,199
2327,199
723,199
258,199
1898,199
5163,199
6262,199
345,199
293,197
615,197
5072,197
5101,197
1300,197
1185,197
1970,196
458,196
4455,196
2006,196
761,196
14040,195
634,195
2752,195
5893,195
1930,195
5821,194
2242,194
12115,194
8029,194
5196,193
4634,193
2610,193
1656,193
4018,192
2526,192
1918,192
5495,192
5473,192
2018,191
6135,191
3238,191
4974,191
5758,191
247,191
2120,190
713,190
4825,190
2521,190
274,190
679,190
3419,189
1810,189
6767,189
3854,189
7607,189
1054,188
2008,188
10021,188
6941,188
9047,188
7131,188
2856,188
785,188
3718,187
1858,187
6936,187
282,187
5299,187
2300,187
5205,186
1922,186
5087,186
3624,186
6261,186
4779,186
5162,186
3456,186
7144,185
6170,185
2618,185
534,185
483,185
916,184
8738,184
3714,184
9220,184
6743,184
4500,184
3917,184
7930,184
127,184
6105,183
4733,183
1811,183
410,183
1554,183
3704,183
6153,183
10147,182
8610,182
11305,182
1913,182
9756,182
695,182
5740,182
2782,182
745,182
2182,181
5335,181
6970,181
9850,180
660,180
6241,180
7509,180
5127,180
4798,180
1546,180
4902,180
957,180
2188,180
8685,180
176,180
97,180
8106,179
2449,179
698,179
5311,179
439,179
3641,178
567,178
2207,178
988,178
9890,178
1046,177
5069,177
3241,176
8461,176
3278,176
2302,176
3989,176
1645,176
784,176
6949,176
9875,176
106,176
2622,176
4587,175
4895,175
7938,175
6579,174
2309,174
8103,174
3249,174
539,174
1497,173
1284,173
3726,173
1445,173
5320,173
1379,173
1774,173
2025,173
3796,173
2165,173
8183,173
4820,173
3437,173
818,172
3471,172
4950,172
7979,172
3825,172
11335,171
2172,171
1590,171
920,171
1797,171
1775,171
7314,171
9963,171
6088,170
4286,170
3507,170
7306,170
4567,170
3595,170
299,169
739,169
2807,169
2151,169
150,169
232,169
347,169
11973,169
7814,169
717,168
3882,168
11876,168
392,168
4251,168
7574,167
4966,167
11242,167
776,167
6343,167
2007,167
4566,167
1570,166
2727,166
796,166
6604,166
2629,166
5086,166
6191,166
544,166
5447,166
8173,166
2445,166
4019,166
1809,166
6008,166
12812,166
2454,165
5544,165
2395,165
8868,165
1594,165
610,165
9952,164
10598,164
8042,164
6578,164
990,164
4389,164
9706,163
5719,163
21,163
1400,163
857,163
2797,163
7374,163
2153,162
6776,162
1874,162
4687,162
6684,162
1743,162
2870,162
5699,162
7632,162
7620,162
7589,162
3724,162
4772,162
3634,162
1815,162
3941,162
2488,161
4515,161
1597,161
316,161
9031,160
329,160
10067,160
2703,160
1473,159
9300,159
394,159
8370,159
7356,159
3217,159
5313,159
7332,159
6290,159
631,159
3122,158
9837,158
9499,158
2467,158
3619,157
1899,157
4043,157
11203,157
3681,157
1124,157
665,157
14726,157
4285,157
6417,157
2477,157
8598,156
6254,156
3358,156
5541,156
287,156
2673,156
2701,156
4226,156
3316,156
5427,156
3179,155
4190,155
2475,155
4689,155
8541,155
3386,155
8993,155
1856,155
2888,154
7087,154
2000,154
512,154
5630,154
1781,154
790,154
229,154
2208,154
7417,154
4125,154
10122,154
819,153
10313,153
4795,153
61,153
815,153
4182,153
4709,153
9519,153
1983,153
5864,153
7439,153
4767,153
4020,152
3696,152
7532,152
1521,152
6496,152
8006,152
2886,152
7555,152
4102,152
847,152
783,152
1384,152
774,152
7424,151
6116,151
6748,151
121,151
4989,151
2330,151
5102,151
4891,151
2230,151
8823,151
2201,151
4826,151
3095,150
440,150
3202,150
983,150
4558,150
10757,150
12586,150
1105,150
4669,150
8328,150
3495,149
578,149
656,149
6218,149
5757,149
5696,149
7295,149
5759,149
2545,149
2655,149
2317,149
4885,149
2700,149
1715,149
238,149
14703,149
6298,149
6304,149
14330,149
3859,149
772,149
8019,148
2787,148
9938,148
2252,148
9841,148
12720,148
12583,148
2465,148
5683,148
6020,148
6719,148
18355,148
462,148
71,148
5976,148
6114,148
5039,148
273,148
1260,147
2606,147
5362,147
2511,147
5868,147
4996,147
5018,147
7917,147
6146,147
8007,147
6006,147
8005,146
4519,146
3254,146
5412,146
8332,146
3240,146
6844,146
5847,146
1292,146
2639,146
2486,145
8188,145
2605,145
12116,145
8394,145
5174,145
2170,145
5051,145
5827,145
