item_id,count
27,42367
12,33277
539,22434
522,21549
28,18710
2,15798
434,13506
14,13114
460,12806
11,12014
1346,11997
394,10323
371,9928
365,9361
361,8868
426,8602
333,8070
635,7804
528,7723
372,7618
120,7564
13,7448
924,6757
950,6748
419,6665
454,6613
429,6585
1053,6573
529,6463
114,6449
10,6422
94,6379
673,6356
356,6278
108,6202
162,6147
25,6063
106,6053
957,5823
919,5655
362,5641
1183,5604
109,5475
900,5373
1674,5254
427,5176
93,5137
357,5126
600,4986
612,4931
649,4900
563,4853
657,4805
432,4783
817,4618
68,4591
630,4488
96,4472
990,4431
1235,4421
1003,4316
98,4227
933,4215
436,4177
449,4133
860,4038
524,4025
1696,3991
9,3969
636,3894
466,3842
477,3799
1637,3786
1731,3760
531,3733
405,3585
541,3505
135,3475
815,3467
856,3436
639,3414
644,3365
1373,3339
33,3338
2260,3321
1116,3307
53,3304
1004,3295
523,3284
1764,3280
565,3214
615,3132
983,3131
19,3106
132,3058
239,2966
496,2936
82,2918
391,2906
555,2875
873,2841
1379,2813
1425,2794
447,2766
1374,2744
640,2742
384,2709
1610,2701
1576,2683
1113,2653
1775,2602
107,2600
1055,2593
645,2589
3861,2578
481,2567
3615,2564
423,2563
47,2562
1981,2562
58,2525
494,2519
390,2519
870,2500
871,2493
2272,2478
478,2413
1481,2390
593,2389
892,2383
1415,2370
609,2365
2756,2350
46,2345
869,2342
1975,2325
1164,2314
1233,2309
670,2309
2662,2308
1480,2290
116,2261
1418,2227
1090,2210
1572,2203
2482,2187
2708,2187
928,2186
1372,2184
1444,2178
613,2176
578,2173
1416,2143
525,2085
4374,2069
4101,2062
150,2057
1127,2056
217,2054
1051,2054
2802,2047
767,2033
49,2011
1174,2011
794,2010
3642,2008
601,2004
209,1973
62,1955
2280,1954
521,1932
1029,1924
2372,1901
1669,1891
1628,1847
1172,1844
417,1841
1472,1839
508,1838
651,1837
3158,1832
4031,1812
980,1791
188,1788
526,1787
904,1785
906,1781
1454,1778
51,1777
1485,1775
467,1772
420,1762
1707,1758
1107,1757
1778,1749
1738,1749
1421,1748
1725,1741
1042,1718
931,1717
1057,1713
821,1705
594,1699
105,1682
313,1676
997,1670
981,1655
157,1653
1670,1650
1094,1644
2993,1643
2295,1639
167,1639
1749,1621
2663,1619
1625,1602
638,1601
4448,1593
366,1592
1803,1591
2695,1591
2422,1588
2507,1586
87,1585
2161,1557
664,1555
1341,1532
2255,1531
252,1521
332,1508
2219,1508
538,1501
1763,1497
2159,1495
3019,1494
1109,1490
305,1483
1139,1481
2503,1472
1106,1466
579,1463
338,1462
1477,1461
995,1453
2715,1448
2610,1447
1410,1434
1232,1432
3678,1430
1089,1417
1347,1417
798,1410
48,1410
52,1407
540,1401
2415,1397
1724,1392
874,1390
1700,1383
2299,1379
1324,1374
1422,1367
729,1367
37,1366
493,1364
1982,1364
606,1362
1573,1358
4314,1354
85,1348
1451,1346
907,1345
439,1343
1650,1340
850,1338
564,1329
2528,1328
2962,1325
2178,1320
237,1320
1398,1309
2532,1306
1362,1305
2454,1304
1739,1291
2429,1289
1456,1287
1682,1286
898,1284
1980,1282
160,1279
2555,1279
832,1276
596,1275
1831,1271
2472,1270
396,1269
101,1268
4853,1267
1074,1264
1420,1261
530,1257
1983,1254
2357,1253
1234,1253
2521,1249
662,1238
1622,1238
589,1237
4739,1230
2635,1229
934,1228
3338,1226
1969,1224
2690,1223
625,1218
2602,1217
1257,1215
104,1215
2404,1210
509,1205
809,1205
1660,1203
607,1202
1475,1198
3536,1196
2001,1196
4567,1195
2379,1193
2824,1191
4438,1191
2150,1190
2290,1184
2525,1183
1918,1179
122,1179
1073,1178
2239,1178
905,1178
2257,1178
24,1177
4144,1175
2116,1171
2520,1166
519,1166
3985,1165
1242,1165
1643,1161
991,1156
891,1154
1681,1151
626,1150
1701,1150
3328,1147
676,1147
4118,1145
334,1144
2760,1142
3015,1124
1770,1124
1718,1117
3083,1107
936,1100
2151,1097
1804,1094
576,1087
4299,1086
2908,1083
1620,1081
1489,1081
1616,1081
1058,1080
2197,1075
3122,1075
411,1073
1452,1073
1100,1071
402,1070
1519,1068
2288,1066
499,1065
577,1058
190,1052
92,1051
2149,1051
2086,1050
2668,1050
2504,1046
1575,1045
1737,1044
1458,1035
1977,1033
889,1031
708,1030
6071,1027
743,1027
2630,1026
462,1024
2176,1021
1713,1018
1967,1018
2261,1018
414,1018
2203,1017
3528,1017
1207,1015
1236,1013
3852,1009
2423,1009
1112,1008
1597,1005
3109,1004
42,1003
1617,1001
2636,1000
129,1000
2800,996
1649,996
1567,995
1360,994
1023,993
2603,993
965,992
3994,992
1447,988
1377,987
437,986
1072,984
1166,980
5450,975
1780,971
34,970
410,957
3329,955
2361,955
1067,954
2611,952
2487,950
1846,950
2999,950
642,948
1071,948
2144,946
2179,946
50,945
2801,944
2619,942
3271,941
5211,940
3627,939
802,937
375,933
1465,933
1785,931
3955,926
480,925
55,924
2192,922
4288,920
2699,919
3389,917
6,915
2223,914
5170,911
433,908
611,908
4783,904
4289,903
1125,901
291,900
1464,900
1561,899
56,898
3686,897
112,895
1063,894
865,892
2614,890
1595,889
922,888
2834,885
2510,884
3572,884
682,881
424,880
5008,880
4119,877
517,877
3562,876
660,874
4028,873
822,873
486,872
1110,871
3590,867
2581,865
2786,863
912,863
2996,862
505,860
1515,859
2982,859
3099,859
1427,856
2027,856
2727,853
1574,851
207,848
2874,847
2145,846
2080,843
1385,842
4129,841
4143,841
704,839
3864,839
511,836
610,836
3140,835
3295,834
152,833
2321,831
3259,830
1568,829
516,828
966,828
2700,828
5729,828
1405,828
2263,826
2931,826
1829,824
5351,824
3828,823
686,821
3,821
2519,820
2294,818
3482,816
2040,815
4716,815
520,814
4081,814
2105,812
1446,812
245,811
2595,808
1677,808
399,807
4154,807
5215,807
16,803
2597,802
5364,802
7488,801
1642,801
95,797
744,795
3539,795
1781,795
1807,794
3071,792
1687,791
1078,790
2558,790
450,789
2576,788
2584,788
1673,787
2143,786
1823,786
2556,785
1092,785
83,785
824,783
1099,783
925,781
421,777
1096,777
515,777
54,776
1651,776
978,775
992,773
916,773
2264,773
4140,771
3079,771
416,770
3311,770
3046,766
503,766
945,766
2484,764
2490,763
1603,762
2362,762
495,760
3911,757
374,756
368,756
2354,755
2698,754
438,754
1433,754
2950,753
4574,753
2691,751
1348,749
629,745
320,743
2269,741
2256,740
3725,740
1188,739
4335,739
18,739
3570,738
848,735
4626,732
393,731
473,730
780,730
2169,728
2853,725
1959,724
584,722
700,722
2570,721
5072,720
3488,720
3924,718
1671,718
406,717
3315,717
472,716
841,716
3131,715
2919,714
881,714
181,714
4661,713
2797,713
347,713
1043,712
1971,712
2045,711
5495,710
5146,710
4029,710
2688,710
235,709
5517,709
2168,708
6387,706
1081,705
2155,705
4303,702
2578,702
877,702
415,699
355,698
4788,697
6609,697
1970,696
2156,695
5614,695
582,694
1361,694
72,692
5701,691
2121,690
1554,689
6517,688
5405,686
1466,685
2153,685
2088,682
2842,680
3429,680
3646,678
1699,677
7886,676
616,676
3185,675
4416,674
581,674
5295,674
4164,674
1033,674
1468,672
360,671
6741,671
2598,670
4092,670
1449,669
4459,668
558,668
5150,666
3927,665
3751,664
5203,664
1712,662
3819,661
2518,660
2803,659
71,658
288,658
4488,655
5145,654
7125,654
3443,654
3830,653
9551,653
5496,651
3746,651
4337,651
2805,649
3848,649
249,649
3765,648
2973,647
6147,646
927,646
1569,643
2071,642
4670,642
7117,640
35,638
9405,635
705,635
398,635
3327,634
2758,634
643,633
